backend,algorithm,mode,message,bytes,repeats,encrypt_ms,decrypt_ms
lib,DES64,ECB,1,5,3,0.009498,0.008696
lib,DES64,ECB,2,17,3,0.011101,0.011151
lib,DES64,ECB,3,44,3,0.015359,0.01567
lib,DES64,ECB,4,128,3,0.030648,0.030728
lib,DES64,ECB,5,1024,3,0.179699,0.182494
lib,DES64,CBC,1,5,3,0.009498,0.009277
lib,DES64,CBC,2,17,3,0.013055,0.013776
lib,DES64,CBC,3,44,3,0.019728,0.019586
lib,DES64,CBC,4,128,3,0.041909,0.041949
lib,DES64,CBC,5,1024,3,0.273506,0.26509
lib,DES64,CFB,1,5,3,0.009118,0.008516
lib,DES64,CFB,2,17,3,0.012343,0.012314
lib,DES64,CFB,3,44,3,0.018555,0.018775
lib,DES64,CFB,4,128,3,0.039775,0.039023
lib,DES64,CFB,5,1024,3,0.26989,0.26523
lib,DES64,OFB,1,5,3,0.008567,0.008536
lib,DES64,OFB,2,17,3,0.012463,0.012543
lib,DES64,OFB,3,44,3,0.018715,0.018886
lib,DES64,OFB,4,128,3,0.040436,0.039835
lib,DES64,OFB,5,1024,3,0.273997,0.266954
lib,DES64,CTR,1,5,3,0.011562,0.008677
lib,DES64,CTR,2,17,3,0.012954,0.012795
lib,DES64,CTR,3,44,3,0.019307,0.019456
lib,DES64,CTR,4,128,3,0.041979,0.041088
lib,DES64,CTR,5,1024,3,0.289716,0.281201
lib,AES128,ECB,1,5,3,0.007314,0.007163
lib,AES128,ECB,2,17,3,0.008215,0.008225
lib,AES128,ECB,3,44,3,0.009017,0.009468
lib,AES128,ECB,4,128,3,0.016932,0.017322
lib,AES128,ECB,5,1024,3,0.08991,0.09011
lib,AES128,CBC,1,5,3,0.007775,0.007945
lib,AES128,CBC,2,17,3,0.009938,0.01073
lib,AES128,CBC,3,44,3,0.012373,0.012443
lib,AES128,CBC,4,128,3,0.025909,0.026209
lib,AES128,CBC,5,1024,3,0.151747,0.150244
lib,AES128,CFB,1,5,3,0.007103,0.007053
lib,AES128,CFB,2,17,3,0.009017,0.009158
lib,AES128,CFB,3,44,3,0.011853,0.012193
lib,AES128,CFB,4,128,3,0.023314,0.022863
lib,AES128,CFB,5,1024,3,0.150313,0.147217
lib,AES128,OFB,1,5,3,0.007044,0.006943
lib,AES128,OFB,2,17,3,0.008907,0.008917
lib,AES128,OFB,3,44,3,0.011922,0.011922
lib,AES128,OFB,4,128,3,0.023454,0.022903
lib,AES128,OFB,5,1024,3,0.150203,0.147569
lib,AES128,CTR,1,5,3,0.007144,0.007204
lib,AES128,CTR,2,17,3,0.009217,0.009438
lib,AES128,CTR,3,44,3,0.012103,0.012093
lib,AES128,CTR,4,128,3,0.024176,0.023835
lib,AES128,CTR,5,1024,3,0.156565,0.15375
lib,AES192,ECB,1,5,3,0.006522,0.006783
lib,AES192,ECB,2,17,3,0.007935,0.008376
lib,AES192,ECB,3,44,3,0.009108,0.009468
lib,AES192,ECB,4,128,3,0.016992,0.017323
lib,AES192,ECB,5,1024,3,0.09007,0.09018
lib,AES192,CBC,1,5,3,0.007565,0.007595
lib,AES192,CBC,2,17,3,0.009878,0.010009
lib,AES192,CBC,3,44,3,0.011962,0.013174
lib,AES192,CBC,4,128,3,0.026029,0.025578
lib,AES192,CBC,5,1024,3,0.153831,0.151576
lib,AES192,CFB,1,5,3,0.007304,0.007063
lib,AES192,CFB,2,17,3,0.009087,0.009227
lib,AES192,CFB,3,44,3,0.011832,0.011782
lib,AES192,CFB,4,128,3,0.023284,0.023133
lib,AES192,CFB,5,1024,3,0.153289,0.151175
lib,AES192,OFB,1,5,3,0.007124,0.007083
lib,AES192,OFB,2,17,3,0.008987,0.009057
lib,AES192,OFB,3,44,3,0.011532,0.011702
lib,AES192,OFB,4,128,3,0.023624,0.023133
lib,AES192,OFB,5,1024,3,0.152187,0.149011
lib,AES192,CTR,1,5,3,0.007274,0.007244
lib,AES192,CTR,2,17,3,0.009448,0.009428
lib,AES192,CTR,3,44,3,0.012163,0.012073
lib,AES192,CTR,4,128,3,0.024025,0.023745
lib,AES192,CTR,5,1024,3,0.157437,0.153589
lib,AES256,ECB,1,5,3,0.006903,0.006833
lib,AES256,ECB,2,17,3,0.008105,0.008246
lib,AES256,ECB,3,44,3,0.009077,0.009398
lib,AES256,ECB,4,128,3,0.017002,0.017022
lib,AES256,ECB,5,1024,3,0.089769,0.090631
lib,AES256,CBC,1,5,3,0.007614,0.007774
lib,AES256,CBC,2,17,3,0.009839,0.010109
lib,AES256,CBC,3,44,3,0.012093,0.012183
lib,AES256,CBC,4,128,3,0.025889,0.025979
lib,AES256,CBC,5,1024,3,0.155333,0.150334
lib,AES256,CFB,1,5,3,0.007073,0.007093
lib,AES256,CFB,2,17,3,0.008997,0.009548
lib,AES256,CFB,3,44,3,0.011572,0.011932
lib,AES256,CFB,4,128,3,0.023324,0.023223
lib,AES256,CFB,5,1024,3,0.150103,0.14864
lib,AES256,OFB,1,5,3,0.006963,0.006963
lib,AES256,OFB,2,17,3,0.008947,0.009127
lib,AES256,OFB,3,44,3,0.011612,0.011652
lib,AES256,OFB,4,128,3,0.022953,0.022953
lib,AES256,OFB,5,1024,3,0.150073,0.147559
lib,AES256,CTR,1,5,3,0.007314,0.007153
lib,AES256,CTR,2,17,3,0.009468,0.009338
lib,AES256,CTR,3,44,3,0.012203,0.012183
lib,AES256,CTR,4,128,3,0.024216,0.023995
lib,AES256,CTR,5,1024,3,0.160122,0.154561
